symbol,company,sector,price,sweet_spot_score,master_score,master_percentile,alpha_score,quality_gate,tech_filter,rating,signal,sweet_spot_confidence,confidence_band,days_tracked,expected_return_1d,hist_alpha_ann,hist_ir,alpha_hit_rate,alpha_streak,confidence_weight,primary_driver,signal_matches,pe_ratio,pb_ratio,market_cap,roe,profit_margin,ret_1m,ret_3m,ret_6m,rsi14,momentum_score,put_call_ratio,options_sentiment,options_score,avg_iv,above_vwap,analyst_target,analyst_upside,analyst_score
SENEA,Seneca Foods Corp A,CONSUMER DEFENSIVE,184.42,84.7,84.7,100,88.1,69.5,85.6,Very Strong,Very Strong,100,Proven,754,0.0015,0.3726,1.0162,0.5385,3,1,Alpha Leader,GX MACD RSI MA200,10.3,1.484,1128920000,0.165,0.0691,0.0454,0.3398,0.4569,64.6695,84.6469,NA,Unknown,50,NA,FALSE,202,0.0953,75
ATI,Allegheny Technologies Incorporated,INDUSTRIALS,230.08,84.1,84.1,99.5,92.1,45.8,87.8,Very Strong,Very Strong,100,Proven,754,0.0018,0.4509,1.2303,0.5265,9,1,Alpha Leader,GX MACD MA200,67.69,14.45,27991450000,0.227,0.0926,0.2521,0.3959,0.6457,72.147,79.3351,NA,Unknown,50,NA,FALSE,200.33,-0.1293,77.8
ANET,Arista Networks,TECHNOLOGY,197.85,83.2,83.2,99,89,54.5,86.6,Very Strong,Very Strong,100,Proven,754,0.0017,0.4293,0.9866,0.5531,2,1,Alpha Leader,GX MACD RSI MA200 α>SPY,63.72,16.84,239884354000,0.315,0.383,0.0922,0.4063,0.4643,63.52,86.3479,NA,Unknown,50,NA,FALSE,192.31,-0.028,80
TWLO,Twilio Inc,TECHNOLOGY,255.95,81.7,81.7,98.5,86.5,44.6,92.6,Very Strong,Very Strong,100,Proven,754,0.0017,0.4353,0.9009,0.5199,4,1,Alpha Leader,GX MACD MA200,294.02,3.848,29451717000,0.0132,0.0196,0.1728,0.3289,1.3182,77.0978,79.6959,NA,Unknown,50,NA,FALSE,210.72,-0.1767,71
IESC,IES Holdings Inc,INDUSTRIALS,780,80.7,80.7,97.9,87,55,80.8,Very Strong,Very Strong,100,Proven,754,0.0033,0.842,1.429,0.5451,1,1,Alpha Leader,GX MACD RSI MA200,34.15,12.32,15310473000,0.445,0.114,0.2937,0.1508,0.5742,61.4055,78.9253,NA,Unknown,50,NA,FALSE,700,-0.1026,50
CRWD,Crowdstrike Holdings Inc,TECHNOLOGY,221.9,79.8,79.8,97.4,85.1,34.5,94.6,Very Strong,Very Strong,100,Proven,754,0.0021,0.5211,1.2684,0.5318,0,1,Alpha Leader,GX MACD RSI MA200,NA,41.94,215076717000,-0.0025,-0.006,0.1809,0.5778,1.1568,68.1567,88.3479,NA,Unknown,50,NA,FALSE,193.13,-0.1297,73.6
PANW,Palo Alto Networks Inc,TECHNOLOGY,383.8,77.8,77.8,96.9,79,43.8,96.2,Strong,Strong,100,Proven,754,0.0013,0.3276,0.8831,0.5292,0,1,Alpha Leader,GX MACD RSI MA200,318.56,9.77,298567107000,0.0483,0.0795,0.162,0.6849,1.3573,69.5762,89.8428,NA,Unknown,50,NA,FALSE,336.7,-0.1227,74.1
AXON,Axon Enterprise Inc.,INDUSTRIALS,636.31,77.7,77.7,96.4,83.4,43.9,84.3,Strong,Strong,100,Proven,754,0.0015,0.372,0.7532,0.508,3,1,Alpha Leader,MACD RSI MA200,256.09,13.85,49126162000,0.0677,0.0691,0.1632,0.6886,0.4601,62.5318,84.0799,NA,Unknown,50,NA,FALSE,660.88,0.0386,78.6
NET,Cloudflare Inc,TECHNOLOGY,306.97,76.6,76.6,95.9,80.1,39.5,91,Strong,Strong,100,Proven,754,0.0019,0.4695,0.9502,0.5159,0,1,Alpha Leader,GX MACD RSI MA200,NA,64.86,106953933000,-0.0588,-0.0372,0.1389,0.5937,0.6578,65.9766,86.8531,NA,Unknown,50,NA,FALSE,265,-0.1367,70.6
NTRA,Natera Inc,HEALTHCARE,312.72,76.5,76.5,95.4,82.2,33.3,89.2,Strong,Strong,100,Proven,754,0.002,0.5119,1.1986,0.5199,0,1,Alpha Leader,GX MACD RSI MA200,NA,21.62,39411442000,-0.15,-0.0905,0.146,0.6011,0.5047,68.7031,85.7706,NA,Unknown,50,NA,FALSE,282.86,-0.0955,77.3
