symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,company,sector,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score
ZM,94.9,114.74,70.7,2026-08-29,SOFTWARE - APPLICATION,29257153000,9.31,14.84,2.434,10.77,10.77,0.321,0.0611,0.652,0.246,4993050000,16.89,1333759000,15.45,3.427,0.049,1.04,117.8,2,15,13,0,1,263233000,NA,4.214,4.071,33.98,Zoom Video Communications Inc,TECHNOLOGY,90,75,95,90,31,63.7,0.24130663856691242,85.87
ACAD,28.89,30.96,19.69,2026-08-29,BIOTECHNOLOGY,5122643000,13.27,71.94,3.901,2.24,2.24,0.357,0.0364,0.334,0.123,1138644000,6.69,98392000,42.83,0.133,0.164,0.845,34,4,12,4,1,0,172306000,NA,50.86,3.701,7.59,ACADIA Pharmaceuticals Inc,HEALTHCARE,90,60,95,90,21,72.6,0.17687781239183106,83.76
PD,14.04,17.29,5.7,2026-09-01,SOFTWARE - APPLICATION,1087728000,6.09,9.72,4.498,2.27,2.27,0.826,0.0229,0.375,0.0823,494733000,5.88,45853000,16.82,-0.4,0.008,0.921,12.64,0,3,4,1,1,78650000,NA,NA,1.91,2.825,Pagerduty Inc,TECHNOLOGY,90,60,95,90,9,50,-0.09971509971509962,81.5
WAL,77.26,95.75,65.11,2026-08-29,BANKS - REGIONAL,8587329000,8.99,7.94,1.151,8.76,8.76,0.13,0.0109,0.282,0.394,3487100000,32.18,NA,NA,0.14,0.136,1.332,93.07,4,7,4,0,0,109101000,0.0206,1.467,4.25,67.88,Western Alliance Bancorporation,FINANCIAL SERVICES,90,90,65,90,15,75,0.20463370437483805,81
HON,209.98,258.09,193.26,2026-08-24,CONGLOMERATES,68427346000,8.3,25.91,3.691,26.02,26.02,0.466,0.0572,0.216,0.203,38057001000,119.9,8512000000,6.94,2.639,0.043,0.918,262.95,3,12,8,0,1,316940000,0.0431,4.047,2.45,58.49,Honeywell International Inc,INDUSTRIALS,90,60,95,75,24,66.7,0.252262120201924,80.92
FHN,24.03,26.43,19.39,2026-08-27,BANKS - REGIONAL,11569638000,11.8,11.57,1.369,2.07,2.07,0.115,0.0129,0.302,0.413,3501000000,7.18,NA,NA,0.2,0.09,0.622,28.11,3,5,11,0,0,473777000,0.0261,1.756,4.225,17.91,First Horizon Corporation,FINANCIAL SERVICES,90,90,65,90,19,64.5,0.16978776529338319,79.95
WBS,NA,79.4,51.49,2026-08-29,BANKS - REGIONAL,12568934000,12.63,12.3,1.326,6.14,6.14,0.107,0.0122,0.368,0.506,2769366000,17.2,NA,NA,0.028,0.058,1.005,76.18,1,1,11,1,0,162033000,0.0205,1.728,5.87,57.33,Webster Financial Corporation,FINANCIAL SERVICES,90,90,65,90,14,53.6,NA,78.86
INCY,125.01,132.6,81.09,2026-08-28,BIOTECHNOLOGY,25969633000,16.53,42.19,4.144,7.75,7.75,0.307,0.168,0.277,0.419,5819530000,29.36,1942313000,10.54,0.377,0.377,0.769,127.12,2,9,15,1,0,202698000,NA,31.3,3.745,31.57,Incyte Corporation,HEALTHCARE,75,60,95,90,27,61.1,0.016878649708023354,78.86
ZION,66.36,72.85,44.82,2026-08-22,BANKS - REGIONAL,9908774000,8.69,10.29,1.309,7.81,7.81,0.164,0.0132,0.318,0.521,3687000000,25.12,NA,NA,0.871,0.352,0.781,74.95,1,6,12,1,2,145953000,0.0264,4.472,3.207,52.18,Zions Bancorporation,FINANCIAL SERVICES,90,90,65,90,22,53.4,0.1294454490657023,78.84
CROX,115.28,141.28,73.2,2026-08-30,FOOTWEAR & ACCESSORIES,5860327000,10.8,8.79,4.214,11.32,11.32,0.423,0.12,0.146,0.242,4054866000,79.38,926537000,7.96,-0.042,0.026,1.526,138.25,2,5,7,1,0,47945100,NA,1.393,1.813,28.77,Crocs Inc,CONSUMER CYCLICAL,90,60,95,60,15,63.3,0.19925399028452462,78.33
